Object ID,Department,AccessionYear,Object Name,Title,Culture,Artist,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Object Date,Object Begin Date,Object End Date,Dimensions,Credit Line,Classification,Link Resource,Repository
1,The American Wing,1979,Coin,One-dollar Liberty Head Coin,,"Longacre, James Barton",American,1794,1869,,1853,1853,1853,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",Metal,http://www.metmuseum.org/art/collection/search/1,"Metropolitan Museum of Art, New York, NY"
2,The American Wing,1980,Coin,Ten-dollar Liberty Head Coin,,"Gobrecht, Christian",,1785,1844,,1901,1901,1901,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1980",Metal,http://www.metmuseum.org/art/collection/search/2,"Metropolitan Museum of Art, New York, NY"
3,The American Wing,1967,Coin,Two-and-a-Half Dollar Coin,,,,,,,1909–27,1909,1927,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",Metal,http://www.metmuseum.org/art/collection/search/3,"Metropolitan Museum of Art, New York, NY"
4,The American Wing,1967,Coin,Two-and-a-Half Dollar Coin,,,,,,,1909–27,1909,1927,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",Metal,http://www.metmuseum.org/art/collection/search/4,"Metropolitan Museum of Art, New York, NY"
5,The American Wing,1967,Coin,Two-and-a-Half Dollar Coin,,,,,,,1909–27,1909,1927,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",Metal,http://www.metmuseum.org/art/collection/search/5,"Metropolitan Museum of Art, New York, NY"
6,The American Wing,1967,Coin,Two-and-a-Half Dollar Coin,,,,,,,1909–27,1909,1927,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",Metal,http://www.metmuseum.org/art/collection/search/6,"Metropolitan Museum of Art, New York, NY"
7,The American Wing,1967,Coin,Two-and-a-Half Dollar Coin,,,,,,,1909–27,1909,1927,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",Metal,http://www.metmuseum.org/art/collection/search/7,"Metropolitan Museum of Art, New York, NY"
8,The American Wing,1967,Coin,Two-and-a-Half Dollar Coin,,,,,,,1909–27,1909,1927,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",Metal,http://www.metmuseum.org/art/collection/search/8,"Metropolitan Museum of Art, New York, NY"
9,The American Wing,1967,Coin,Two-and-a-Half Dollar Coin,,,,,,,1909–27,1909,1927,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",Metal,http://www.metmuseum.org/art/collection/search/9,"Metropolitan Museum of Art, New York, NY"
10,The American Wing,1979,Coin,Two-and-a-half-dollar Indian Head Coin,,"Pratt, Bela Lyon",,1867,1917,,1912,1912,1912,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",Metal,http://www.metmuseum.org/art/collection/search/10,"Metropolitan Museum of Art, New York, NY"
11,The American Wing,1979,Coin,Two-and-a-half-dollar Liberty Head Coin,,"Gobrecht, Christian",,1785,1844,,1907,1907,1907,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",Metal,http://www.metmuseum.org/art/collection/search/11,"Metropolitan Museum of Art, New York, NY"
12,The American Wing,1979,Coin,Twenty-dollar Liberty Head Coin,,"Longacre, James Barton",American,1794,1869,,1876,1876,1876,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",Metal,http://www.metmuseum.org/art/collection/search/12,"Metropolitan Museum of Art, New York, NY"
13,The American Wing,1979,Coin,Five-dollar Indian Head Coin,,"Pratt, Bela Lyon",,1867,1917,,1910,1910,1910,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",Metal,http://www.metmuseum.org/art/collection/search/13,"Metropolitan Museum of Art, New York, NY"
14,The American Wing,1979,Coin,Five-dollar Liberty Head Coin,,"Gobrecht, Christian",,1785,1844,,1907,1907,1907,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",Metal,http://www.metmuseum.org/art/collection/search/14,"Metropolitan Museum of Art, New York, NY"
15,The American Wing,1916,Coin,"Coin, 1/2 Real",Mexican,,,,,,1665–1700,1665,1700,Diam. 1/2 in. (1.3 cm),"Gift of Mrs. Russell Sage, 1916",Silver,http://www.metmuseum.org/art/collection/search/15,"Metropolitan Museum of Art, New York, NY"
16,The American Wing,1916,Peso,"Coin, 1/4 Peso",Mexican,,,,,,1800–1900,1800,1900,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Metal,http://www.metmuseum.org/art/collection/search/16,"Metropolitan Museum of Art, New York, NY"
17,The American Wing,1916,Peso,"Coin, 1/4 Peso",Mexican,,,,,,1867,1867,1867,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Metal,http://www.metmuseum.org/art/collection/search/17,"Metropolitan Museum of Art, New York, NY"
18,The American Wing,1916,Peso,"Coin, 1/4 Peso",Mexican,,,,,,1860,1860,1860,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Metal,http://www.metmuseum.org/art/collection/search/18,"Metropolitan Museum of Art, New York, NY"
19,The American Wing,1916,Peso,"Coin, 1/4 Peso",Mexican,,,,,,1859,1859,1859,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Metal,http://www.metmuseum.org/art/collection/search/19,"Metropolitan Museum of Art, New York, NY"
20,The American Wing,1916,Peso,"Coin, 1/4 Peso",Mexican,,,,,,1860,1860,1860,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Metal,http://www.metmuseum.org/art/collection/search/20,"Metropolitan Museum of Art, New York, NY"
21,The American Wing,1916,Peso,"Coin, 1/4 Peso",Mexican,,,,,,1859,1859,1859,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Metal,http://www.metmuseum.org/art/collection/search/21,"Metropolitan Museum of Art, New York, NY"
