last_name,first_name,birth,death,function,languages,raw_entry,author_id
Jefferson,Thomas,1743,1826,author,en,"Jefferson, Thomas, 1743-1826",1
United States,,,,author,en,United States,2
Kennedy,John Fitzgerald,1917,1963,author,en,"Kennedy, John F. (John Fitzgerald), 1917-1963",3
Lincoln,Abraham,1809,1865,author,en,"Lincoln, Abraham, 1809-1865",4
Henry,Patrick,1736,1799,author,en,"Henry, Patrick, 1736-1799",5
,,,,,,,6
Carroll,Lewis,1832,1898,author,en,"Carroll, Lewis, 1832-1898",7
United States. Central Intelligence Agency,,,,author,en,United States. Central Intelligence Agency,8
Melville,Herman,1819,1891,author,en,"Melville, Herman, 1819-1891",9
Barrie,James Matthew,1860,1937,author,en,"Barrie, J. M. (James Matthew), 1860-1937",10
Smith,"Joseph, Jr.",1805,1844,author,en,"Smith, Joseph, Jr., 1805-1844",11
Church of Jesus Christ of Latter-day Saints,,,,author,en,Church of Jesus Christ of Latter-day Saints,12
Hamilton,Alexander,1757,1804,author,en,"Hamilton, Alexander, 1757-1804",13
Jay,John,1745,1829,author,en,"Jay, John, 1745-1829",14
Madison,James,1751,1836,author,en,"Madison, James, 1751-1836",15
Longfellow,Henry Wadsworth,1807,1882,author,en,"Longfellow, Henry Wadsworth, 1807-1882",16
Morris,Woodrow W.,,,editor,en,"Morris, Woodrow W. [Editor]",17
Milton,John,1608,1674,author,en,"Milton, John, 1608-1674",18
Aesop,621? BCE-565? BCE,,,author,en,"Aesop, 621? BCE-565? BCE",19
Townsend,George Fyler,1814,1900,translator,en,"Townsend, George Fyler, 1814-1900 [Translator]",20
Roget,Peter Mark,1779,1869,author,en,"Roget, Peter Mark, 1779-1869",21
Douglass,Frederick,1818,1895,author,en,"Douglass, Frederick, 1818-1895",22
Cather,Willa,1873,1947,author,en,"Cather, Willa, 1873-1947",23
Hardy,Thomas,1840,1928,author,en,"Hardy, Thomas, 1840-1928",24
Jacobs,Joseph,1854,1916,editor,en,"Jacobs, Joseph, 1854-1916 [Editor]",25
United States. Bureau of the Census,,,,author,en,United States. Bureau of the Census,26
Sophocles,496? BCE-407 BCE,,,author,en,"Sophocles, 496? BCE-407 BCE",27
Storr,Francis,1839,1919,translator,en,"Storr, Francis, 1839-1919 [Translator]",28
Gilman,Charlotte Perkins,1860,1935,author,en,"Gilman, Charlotte Perkins, 1860-1935",29
Hawthorne,Nathaniel,1804,1864,author,en,"Hawthorne, Nathaniel, 1804-1864",30
Kehoe,Brendan P.,1970,2011,author,en,"Kehoe, Brendan P., 1970-2011",31
Wells,Herbert George,1866,1946,author,en,"Wells, H. G. (Herbert George), 1866-1946",32
Raymond,Eric S.,1957,,editor,en,"Raymond, Eric S., 1957- [Editor]",33
Steele,Guy L.,1954,,editor,en,"Steele, Guy L., 1954- [Editor]",34
Krol,Ed,1951,,author,en,"Krol, Ed, 1951-",35
Kochmer,Jonathan,,,author,en,"Kochmer, Jonathan",36
Irving,Washington,1783,1859,author,en,"Irving, Washington, 1783-1859",37
Stevenson,Robert Louis,1850,1894,author,en,"Stevenson, Robert Louis, 1850-1894",38
Montgomery,Lucy Maud,1874,1942,author,en,"Montgomery, L. M. (Lucy Maud), 1874-1942",39
Dickens,Charles,1812,1870,author,en,"Dickens, Charles, 1812-1870",40
Leech,John,1817,1864,illustrator,en,"Leech, John, 1817-1864 [Illustrator]",41
Polly,Jean Armour,,,author,en,"Polly, Jean Armour",42
Hemphill,Scott,,,author,en,"Hemphill, Scott",43
Kerr,Stan,,,author,en,"Kerr, Stan",44
Library of Congress,,,,author,en,Library of Congress,45
Daly,James,1948,,editor,en,"Daly, James, 1948- [Editor]",46
Baum,Lyman Frank,1856,1919,author,en,"Baum, L. Frank (Lyman Frank), 1856-1919",47
Neill,John Rea,1877,1943,illustrator,en,"Neill, John R. (John Rea), 1877-1943 [Illustrator]",48
