Topics,Bookshelves_Count
Literature,35463
Fiction,31052
Culture/Civilization/Society,17737
History - General,11863
Children & Young Adult Reading,8641
History - American,6615
Travel & Geography,6304
Religion/Spirituality/Paranormal,5208
History - European,4507
Philosophy & Ethics,4354
Biographies,4205
Science-Fiction & Fantasy,3935
Poetry,3932
History - Warfare,3287
Encyclopedias/Dictionaries/Reference,3262
Science - General,3240
History - British,2910
Humour,2337
Politics,2262
Crime/Mystery,2046
Nature/Gardening/Animals,1929
Art & Photography,1741
Language & Communication,1678
Teaching & Education,1494
Psychiatry/Psychology,1493
Science Fiction,1341
Sociology,1268
Performing Arts/Film,1135
FR Littérature,1101
Health & Medicine,972
Computers & Technology,822
Music,786
Engineering & Construction,774
Science - Earth/Agricultural/Farming,769
History - Religious,755
Cooking & Drinking,706
Gender & Sexuality Studies,667
Other,626
Science - Genetics/Biology/Evolution,603
History - Medieval/The Middle Ages,543
Children's Book Series,509
Punch,493
Sports/Hobbies/Motoring,459
Law & Criminology,455
History - Ancient,439
"Bestsellers, American, 1895-1923",426
Economics,420
Architecture,392
Historical Fiction,384
How To...,383
World War I,382
DE Prosa,382
Mathematics,351
Children's Fiction,339
Journalism/Media/Writing,337
"FR Biographie, Mémoires, Journal intime, Correspondance",324
US Civil War,321
Children's Literature,317
Business/Management,302
Archaeology,251
DE Sachbuch,250
Parenthood & Family Relations,242
Animal,242
History - Royalty,238
Technology,230
L'Illustration,225
FR Histoire,222
Notes and Queries,219
Best Books Ever Listings,206
"The Mirror of Literature, Amusement, and Instruction",202
Christianity,194
Harvard Classics,185
IT Romanzi,182
United Kingdom,182
Children's Picture Books,179
Environmental Issues,176
Banned Books from Anne Haight's list,174
Science - Astronomy,173
FR Nouvelles,170
Humor,166
FR Sciences et Techniques,160
IT Storia,158
FR Théâtre,152
Christmas,151
Travel,149
Russian Interest,142
The American Missionary,140
Sexuality & Erotica,134
Native America,134
Children's History,132
FR Poésie,132
FR Voyages et pays,129
Latter Day Saints,129
Cookbooks and Cooking,127
Australia,126
Science - Chemistry/Biochemistry/Physics,126
Journals,121
Movie Books,119
History - Schools & Universities,117
The Atlantic Monthly,116
Nutrition,116
DE Drama,115
Philosophy,114
Drugs/Alcohol/Pharmacology,114
Opera,113
Animals-Wild-Mammals,111
United States,111
Detective Fiction,111
De Aarde en haar Volken,108
Classical Antiquity,108
Esperanto,107
Chambers's Edinburgh Journal,106
Children's Instructional Books,102
France,102
Blackwood's Edinburgh Magazine,100
"FR Philosophie, Religion et Morale",98
Fantasy,97
FR Nouveautés,95
Slavery,94
Western,92
FR Jeunesse,90
Judaism,90
Science - Physics,88
Scientific American,86
DE Lyrik,84
"Pirates, Buccaneers, Corsairs, etc.",84
Astounding Stories,83
Harper's Young People,83
Adventure,82
Animals-Wild-Birds,82
IT Racconti,80
DE Kinderbuch,80
World War II,78
IT Teatro in prosa,77
PT Poesia,77
Crafts,76
Art,74
Biology,74
Canada,70
Germany,69
Contemporary Reviews,67
Africa,66
Folklore,64
Fashion & Costume,62
School Stories,62
FR Peuples et Sociétés,61
IT Poesia,61
Reports & Conference Proceedings,60
The Mentor,59
FR Séduction et libertinage,59
"Children's Myths, Fairy Tales, etc.",57
Masterpieces in Colour,57
One Act Plays,55
Animals-Wild,55
Science Fiction by Women,55
Horticulture,53
FR Politique,53
Medicine,52
Animals-Domestic,50
Egypt,50
Children's Anthologies,50
FR Humour,49
The Great Round World And What Is Going On In It,49
Horror,49
Lippincott's Magazine,48
The Nursery,48
Research Methods/Statistics/Information Sys,47
The Girls Own Paper,45
African American Writers,45
Italy,45
India,45
Anthropology,44
PT Biografia,44
FR Illustrateurs,44
Boer War,43
Psychology,42
FR Langues,42
FR Femmes,40
Language Education,40
Punchinello,39
PT Romance,38
IT Letteratura,38
Bibliomania,38
PT História,38
Astronomy,38
FR Chroniques,38
Napoleonic(Bookshelf),38
Short Stories,37
FR Guerres,37
Crime Nonfiction,37
Animals-Wild-Reptiles and Amphibians,37
Precursors of Science Fiction,36
Continental Monthly,36
FR Contes,36
Bahá'í Faith,35
Physics,34
New Zealand,33
German Language Books,32
PT Contos,32
IT Romanzi storici,32
FR Education et Enseignement,32
Manufacturing,32
FR Science fiction,32
Crime Fiction,32
PT Política e Sociedade,31
IT Viaggi,31
Reference,30
FR Villes,30
Gothic Fiction,30
Paganism,29
6 Best Loved Spanish Literary Classics,28
Chemistry,28
Hinduism,28
Harper's New Monthly Magazine,28
The Esperantist,27
FR Musique,26
Animals-Wild-Insects,26
Animals-Wild-Trapping,26
"The International Magazine of Literature, Art, and Science",26
Botany,26
Scouts,25
Islam,25
IT Biografie,24
Northern Nut Growers Association,24
The Bay State Monthly,24
Old Age & the Elderly,24
Famous Scots Series,22
Argentina,22
Physiology,21
Mediæval Town Series,21
CIA World Factbooks,21
Arthurian Legends,20
PT Teatro,20
Children's Verse,20
Project Gutenberg,19
British Law,19
"FR La Première Guerre Mondiale, 1914-1918",19
FR Peinture,19
FR Droit et Justice,19
McClure's Magazine,18
Photography,18
Early English Text Society,18
Greece,18
Natural History,18
FR Services publics,16
St. Nicholas Magazine for Boys and Girls,16
Mythology,16
IT Narrativa varia,16
Erotic Fiction,16
Banned Books List from the American Library Association,15
Witchcraft,15
The Knickerbocker,15
IT Scienze politiche,15
Suffrage,14
PT Periódicos,14
"Birds, Illustrated by Color Photography",14
FR Beaux-Arts,14
Buddhism,14
Mystery Fiction,13
Current History,13
Anarchism,13
PT Navegações e Explorações,13
The Strand Magazine,13
South Africa,13
Woodwork,13
IT Musica,13
"FR Livres, Collections et Bibliophilie",13
The Christian Foundation,13
Child's Own Book of Great Musicians,12
The Irish Penny Journal,12
The Brochure Series of Architectural Illustration,12
Buchanan's Journal of Man,12
Graham's Magazine,12
IT Teatro in versi,12
United States Law,11
IT Religione e Spiritualità,11
Zoology,11
FR Occultisme,11
The Irish Ecclesiastical Record,11
South America,11
Women's Travel Journals,11
Geology,10
PT Ciência e Técnica,10
IT Umorismo,10
IT Psicologia e Sociologia,10
Children's Religion,10
The Philatelic Digital Library Project,10
Atheism,9
Racism,9
IT Filosofia,9
IT Geografia,9
The Botanical Magazine,9
FR Littérature francophone,9
Dew Drops,9
Bulletin de Lille,8
Spanish American War,8
Education,8
Children's Biography,8
The American Bee Journal,8
Plays,8
FR Métiers et Artisanat,8
The Arena,8
IT Letteratura per ragazzi,8
Forestry,7
The Journal of Negro History,7
FR Chansons,7
IT Folklore,7
IT Agraria,7
PT Arte,6
"The Mirror of Taste, and Dramatic Censor",6
Celtic Magazine,6
Little Folks,6
FR Sports et loisirs,6
Camping,6
The Scrap Book,6
The Galaxy,6
Microbiology,6
IT Scienza,6
The Argosy,6
Romantic Fiction,6
IT Teatro dialettale,5
The Catholic World,5
Ecology,5
Prairie Farmer,5
PT Infantil e Juvenil,5
Microscopy,5
The Idler,5
Barnavännen,5
Mycology,5
IT Linguistica,5
American Revolutionary War,5
Ainslee's,4
The Baptist Magazine,4
The Contemporary Review,4
Noteworthy Trials(Bookshelf),4
Mother Earth,4
FR Presse,4
Donahoe's Magazine,4
Love,4
Transportation,4
Engineering,4
Golden Days for Boys and Girls,4
IT Numismatica,3
Canon Law,3
IT Botanica,3
IT Cucina,3
IT Miscellanea,3
Czech,3
IT Legge,3
English Civil War,3
PT Língua Portuguesa,2
Godey's Lady's Book,2
Popular Science Monthly,2
Bulgaria,2
IT Architettura,2
FR Prix Nobel,2
Journal of Entomology and Zoology,2
IT Discorsi e Orazioni,2
The Yellow Book,2
Our Young Folks,2
IT Scienze militari,2
Science,2
The Illustrated War News,2
General Fiction,2
The Unpopular Review,2
The American Architect and Building News,2
Illustrators,2
The American Quarterly Review,2
The National Preacher,2
The Mayflower,1
Bird-Lore,1
Scribner's Magazine,1
"Poetry, A Magazine of Verse",1
Garden and Forest,1
IT Tecnologia,1
The Church of England Magazine,1
The Aldine,1
IT Salute,1
IT Economia,1
The Menorah Journal,1
The American Journal of Archaeology,1
Mrs Whittelsey's Magazine for Mothers and Daughters,1
Norway,1
The Writer,1
The Stars and Stripes,1
Armour's Monthly Cook Book,1
IT Arte varia,1
The North American Medical and Surgical Journal,1
The Economist,1
The Speaker,1
London Medical Gazette,1
The Haslemere Museum Gazette,1
IT Archeologia e Storia dell'arte,1
Maps and Cartography,1
