Text#,Type,Title,Language,Authors,Subjects,Bookshelves
22336,Text,"Buchanan's Journal of Man, February 1887
Volume 1, Number 1",en,"Buchanan, Joseph R. (Joseph Rodes), 1814-1899 [Editor]",Science -- Periodicals; Phrenology -- Periodicals; Medicine -- Periodicals,Buchanan's Journal of Man; Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal; Browsing: Science - General
25819,Text,"Buchanan's Journal of Man, March 1887
Volume 1, Number 2",en,"Buchanan, Joseph R. (Joseph Rodes), 1814-1899 [Editor]",Science -- Periodicals; Phrenology -- Periodicals; Medicine -- Periodicals,Buchanan's Journal of Man; Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Science - General
25890,Text,"Buchanan's Journal of Man, April 1887
Volume 1, Number 3",en,"Buchanan, Joseph R. (Joseph Rodes), 1814-1899 [Editor]",Science -- Periodicals; Phrenology -- Periodicals; Medicine -- Periodicals,Buchanan's Journal of Man; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal; Browsing: Science - General
26317,Text,"Buchanan's Journal of Man, May 1887
Volume 1, Number 4",en,"Buchanan, Joseph R. (Joseph Rodes), 1814-1899 [Editor]",Science -- Periodicals; Phrenology -- Periodicals; Medicine -- Periodicals,Buchanan's Journal of Man; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal; Browsing: Science - General
26401,Text,"Buchanan's Journal of Man, June 1887
Volume 1, Number 5",en,"Buchanan, Joseph R. (Joseph Rodes), 1814-1899 [Editor]",Science -- Periodicals; Phrenology -- Periodicals; Medicine -- Periodicals,Buchanan's Journal of Man; Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal; Browsing: Science - General
27570,Text,"Buchanan's Journal of Man, July 1887
Volume 1, Number 6",en,"Buchanan, Joseph R. (Joseph Rodes), 1814-1899 [Editor]",Science -- Periodicals; Phrenology -- Periodicals; Medicine -- Periodicals,Buchanan's Journal of Man; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal
27648,Text,"Buchanan's Journal of Man, August 1887
Volume 1, Number 7",en,"Buchanan, Joseph R. (Joseph Rodes), 1814-1899 [Editor]",Science -- Periodicals; Phrenology -- Periodicals; Medicine -- Periodicals,Buchanan's Journal of Man; Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal; Browsing: Science - General
27703,Text,"Buchanan's Journal of Man, September 1887
Volume 1, Number 8",en,"Buchanan, Joseph R. (Joseph Rodes), 1814-1899 [Editor]",Science -- Periodicals; Phrenology -- Periodicals; Medicine -- Periodicals,Buchanan's Journal of Man; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal; Browsing: Science - General
27717,Text,"Buchanan's Journal of Man, October 1887
Volume 1, Number 9",en,"Buchanan, Joseph R. (Joseph Rodes), 1814-1899 [Editor]",Science -- Periodicals; Phrenology -- Periodicals; Medicine -- Periodicals,Buchanan's Journal of Man; Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal; Browsing: Science - General
27758,Text,"Buchanan's Journal of Man, November 1887
Volume 1, Number 10",en,"Buchanan, Joseph R. (Joseph Rodes), 1814-1899 [Editor]",Science -- Periodicals; Phrenology -- Periodicals; Medicine -- Periodicals,Buchanan's Journal of Man; Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal; Browsing: Science - General
27796,Text,"Buchanan's Journal of Man, December 1887
Volume 1, Number 11",en,"Buchanan, Joseph R. (Joseph Rodes), 1814-1899 [Editor]",Science -- Periodicals; Phrenology -- Periodicals; Medicine -- Periodicals,Buchanan's Journal of Man; Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Science - General
27812,Text,"Buchanan's Journal of Man, January 1888
Volume 1, Number 12",en,"Buchanan, Joseph R. (Joseph Rodes), 1814-1899 [Editor]",Science -- Periodicals; Phrenology -- Periodicals; Medicine -- Periodicals,Buchanan's Journal of Man; Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Science - General
29307,Text,"North American Medical and Surgical Journal, Vol. 2, No. 3, July, 1826",en,"Various; Bache, Franklin, 1792-1864 [Editor]; Coates, Benjamin Hornor, 1797-1881 [Editor]; Hodge, Hugh L. (Hugh Lenox), 1796-1873 [Editor]; La Roche, R. (René), 1795-1872 [Editor]; Meigs, Charles D. (Charles Delucena), 1792-1869 [Editor]",Medicine -- Periodicals,The North American Medical and Surgical Journal; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Health & Medicine
52874,Text,"The Cleveland Medical Gazette, Vol. 1, No. 3, January 1886",en,"Various; Baker, Albert Rufus, 1858-1911 [Editor]; Kelley, Samuel Walter, 1855-1929 [Editor]",Medicine -- Periodicals; Surgery -- Periodicals,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Health & Medicine
52967,Text,"The Hospital Bulletin, Vol. V, No. 3, May 15, 1909",en,Various,Medicine -- Periodicals; Medical colleges -- Alumni and alumnae -- Maryland -- Baltimore -- Periodicals,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Health & Medicine
52983,Text,"The Cleveland Medical Gazette, Vol. 1, No. 4, February 1886",en,"Various; Baker, Albert Rufus, 1858-1911 [Editor]; Kelley, Samuel Walter, 1855-1929 [Editor]",Medicine -- Periodicals; Surgery -- Periodicals,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Health & Medicine
53325,Text,"The Cleveland Medical Gazette, Vol. 1, No. 5, March 1886",en,"Various; Baker, Albert Rufus, 1858-1911 [Editor]; Kelley, Samuel Walter, 1855-1929 [Editor]",Medicine -- Periodicals; Surgery -- Periodicals,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Health & Medicine
53450,Text,"The London Medical Gazette; December 27, 1828
Being a Weekly Journal of Medicine and the Collateral Sciences",en,Various,Medicine -- Periodicals,London Medical Gazette; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Health & Medicine
53827,Text,"The Hospital Bulletin, Vol. V, No. 2, April 15, 1909",en,Various,Medicine -- Periodicals; Medical colleges -- Alumni and alumnae -- Maryland -- Baltimore -- Periodicals,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Health & Medicine
59175,Text,"Nashville Journal of Medicine and Surgery, Vol. CX. March, 1916. No. 3",en,"Various; Briggs, Charles S. (Charles Stubbins), 1851-1920 [Editor]; Briggs, W. T. (William Thompson), 1829-1894 [Editor]",Medicine -- Periodicals,Browsing: Health & Medicine; Browsing: Journals
