Topics,Subjects_Count
Science fiction,3209
Short stories,3030
Fiction,1974
Adventure stories,1602
Historical fiction,1039
Conduct of life -- Juvenile fiction,986
Man-woman relationships -- Fiction,957
Detective and mystery stories,947
Love stories,938
Poetry,678
Western stories,652
Children's stories,585
English wit and humor -- Periodicals,556
England -- Fiction,528
Friendship -- Juvenile fiction,477
Fantasy fiction,463
Young women -- Fiction,459
Christian life -- Juvenile fiction,458
Fairy tales,451
Human-alien encounters -- Fiction,450
Children -- Conduct of life -- Juvenile fiction,422
English fiction -- 19th century,411
Humorous stories,400
Domestic fiction,399
Sea stories,391
French fiction -- 19th century,391
Finnish fiction -- 20th century,385
Psychological fiction,372
Comedy plays,372
War stories,351
Animals -- Juvenile fiction,348
Siblings -- Juvenile fiction,344
"Short stories, American",324
Voyages and travels -- Juvenile fiction,319
Mystery fiction,314
Adventure and adventurers -- Juvenile fiction,303
Girls -- Juvenile fiction,299
Bildungsromans,296
England -- Social life and customs -- 19th century -- Fiction,288
Inheritance and succession -- Fiction,282
Periodicals,279
London (England) -- Fiction,275
Dime novels,267
Mystery and detective stories,264
Families -- Fiction,262
French fiction -- Translations into English,261
French fiction -- 20th century,249
Boys -- Juvenile fiction,246
German fiction -- Translations into English,240
Tragedies (Drama),239
New York (N.Y.) -- Fiction,237
Essays,236
Christmas stories,234
Orphans -- Juvenile fiction,230
English poetry,230
Indexes,229
Illustrated periodicals -- France,226
Questions and answers -- Periodicals,224
Children's poetry,224
"Short stories, English",223
England -- Social life and customs -- Fiction,223
American poetry,211
Science -- Periodicals,211
Families -- Juvenile fiction,207
Paris (France) -- Fiction,207
Political fiction,205
Popular literature -- Great Britain -- Periodicals,202
"World War, 1914-1918 -- Fiction",199
Space ships -- Fiction,199
Youth -- Conduct of life -- Juvenile fiction,197
Orphans -- Fiction,197
Satire,196
American fiction -- 19th century,193
Triangles (Interpersonal relations) -- Fiction,190
"Literature, Modern -- 19th century -- Periodicals",188
"Children's periodicals, American",180
Drama,179
Schools -- Juvenile fiction,179
Christian fiction,178
Horror tales,175
Mars (Planet) -- Fiction,169
Fantasy literature,166
"World War, 1914-1918",166
Voyages and travels,166
Didactic fiction,165
"Short stories, Finnish",165
Time travel -- Fiction,161
Young men -- Fiction,160
Family -- Juvenile fiction,160
Married people -- Fiction,158
Life on other planets -- Fiction,158
United States -- Social life and customs -- 19th century -- Fiction,154
Conduct of life,153
Biographical fiction,152
Encyclopedias and dictionaries,150
American periodicals,148
Congregational churches -- Missions -- Periodicals,145
Boys -- Fiction,145
Home missions -- Periodicals,145
United States -- Description and travel,143
Mate selection -- Fiction,143
Murder -- Investigation -- Fiction,143
Hungarian fiction -- 19th century,141
Clergy -- Fiction,141
Marriage -- Fiction,140
Swedish fiction -- Translations into Finnish,137
"United States -- History -- Civil War, 1861-1865 -- Personal narratives",136
Epistolary fiction,134
American wit and humor,133
Natural history -- Juvenile fiction,132
England -- Periodicals,132
English poetry -- 19th century,131
"Short stories, French",131
"World War, 1914-1918 -- Personal narratives",129
Social classes -- Fiction,129
Conduct of life -- Fiction,128
England -- Social life and customs -- 20th century -- Fiction,127
"Short stories, Hungarian",127
Extraterrestrial beings -- Fiction,127
Seafaring life -- Juvenile fiction,126
German fiction -- 20th century,126
Finnish drama -- 20th century,125
Scotland -- Periodicals,124
Literature -- Periodicals,124
Hungarian fiction -- 20th century,123
Sailors -- Juvenile fiction,123
Children's literature -- Periodicals,122
Physicians -- Fiction,122
English fiction -- 20th century,121
Indians of North America -- Juvenile fiction,121
Married women -- Fiction,121
American fiction -- 20th century,121
Courtship -- Fiction,120
Cousins -- Juvenile fiction,119
English drama,118
"Humorous stories, English",114
Canada -- Fiction,114
Literature -- History and criticism,114
Europe -- Description and travel,112
Autobiographical fiction,112
Paranormal fiction,112
France -- Fiction,111
Brothers -- Juvenile fiction,111
"United States -- History -- Civil War, 1861-1865 -- Fiction",110
France -- Court and courtiers,108
American poetry -- 20th century,106
Slavery -- United States,106
American poetry -- 19th century,106
Fathers and sons -- Fiction,105
City and town life -- Fiction,105
Christian life -- Fiction,104
Criminals -- Fiction,104
Children's periodicals,104
Ghost stories,103
"Cooking, American",103
English wit and humor,103
Murder -- Fiction,102
Italian fiction -- 19th century,102
Fathers and daughters -- Fiction,102
United States -- Social life and customs -- Fiction,100
Scotland -- Fiction,100
Country life -- Juvenile fiction,98
Ethics,98
Camping -- Juvenile fiction,97
Dogs -- Juvenile fiction,97
United States -- Politics and government,96
"Netherlands -- History -- Eighty Years' War, 1568-1648",96
Boarding schools -- Juvenile fiction,96
Space colonies -- Fiction,96
Soldiers -- Fiction,95
"United States -- History -- Civil War, 1861-1865 -- Regimental histories",95
"World War, 1914-1918 -- Juvenile fiction",95
Sisters -- Juvenile fiction,94
Aeronautics -- Juvenile fiction,94
Indians of North America -- Fiction,94
California -- Fiction,93
Sisters -- Fiction,93
Young women -- Juvenile fiction,93
Success -- Juvenile fiction,93
Aunts -- Juvenile fiction,93
Finnish poetry,93
Spy stories,93
Islands -- Fiction,93
Husband and wife -- Fiction,92
Shipwrecks -- Juvenile fiction,92
Philosophy,92
Finnish fiction -- 19th century,91
Boy Scouts of America -- Juvenile fiction,91
Uncles -- Juvenile fiction,90
Nursery rhymes,89
Gothic fiction,89
New England -- Social life and customs -- Fiction,89
Martians -- Fiction,89
German fiction -- 19th century,89
Ship captains -- Fiction,89
Pirates -- Fiction,88
