Text#,Title,Language,Authors,Subjects,Bookshelves
1,The Declaration of Independence of the United States of America,en,"Jefferson, Thomas, 1743-1826","United States -- History -- Revolution, 1775-1783 -- Sources; United States. Declaration of Independence",Politics; American Revolutionary War; United States Law; Browsing: History - American; Browsing: History - Warfare; Browsing: Politics
2,"The United States Bill of Rights
The Ten Original Amendments to the Constitution of the United States",en,United States,Civil rights -- United States -- Sources; United States. Constitution. 1st-10th Amendments,Politics; American Revolutionary War; United States Law; Browsing: History - American; Browsing: Law & Criminology; Browsing: Politics
3,John F. Kennedy's Inaugural Address,en,"Kennedy, John F. (John Fitzgerald), 1917-1963",United States -- Foreign relations -- 1961-1963; Presidents -- United States -- Inaugural addresses,Browsing: History - American; Browsing: Politics
4,"Lincoln's Gettysburg Address
Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA",en,"Lincoln, Abraham, 1809-1865","Consecration of cemeteries -- Pennsylvania -- Gettysburg; Soldiers' National Cemetery (Gettysburg, Pa.); Lincoln, Abraham, 1809-1865. Gettysburg address",US Civil War; Browsing: History - American; Browsing: Politics
5,The United States Constitution,en,United States,United States -- Politics and government -- 1783-1789 -- Sources; United States. Constitution,United States; Politics; American Revolutionary War; United States Law; Browsing: History - American; Browsing: Law & Criminology; Browsing: Politics
6,Give Me Liberty or Give Me Death,en,"Henry, Patrick, 1736-1799","Speeches, addresses, etc., American; United States -- Politics and government -- 1775-1783 -- Sources; Virginia -- Politics and government -- 1775-1783 -- Sources",American Revolutionary War; Browsing: History - American; Browsing: History - Warfare; Browsing: Politics
7,The Mayflower Compact,en,,"Massachusetts -- History -- New Plymouth, 1620-1691 -- Sources; Pilgrims (New Plymouth Colony); Mayflower Compact (1620)",Browsing: History - American
8,Abraham Lincoln's Second Inaugural Address,en,"Lincoln, Abraham, 1809-1865",United States -- Politics and government -- 1861-1865; Presidents -- United States -- Inaugural addresses,US Civil War; Browsing: History - American; Browsing: Politics
9,Abraham Lincoln's First Inaugural Address,en,"Lincoln, Abraham, 1809-1865",United States -- Politics and government -- 1861-1865; Presidents -- United States -- Inaugural addresses,US Civil War; Browsing: History - American; Browsing: Politics
10,The King James Version of the Bible,en,,Bible,Banned Books List from the American Library Association; Browsing: History - Religious; Browsing: Religion/Spirituality/Paranormal
11,Alice's Adventures in Wonderland,en,"Carroll, Lewis, 1832-1898",Fantasy fiction; Children's stories; Imaginary places -- Juvenile fiction; Alice (Fictitious character from Carroll) -- Juvenile fiction,Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Fiction
